"","sessionid","treatmentnumber","subjects","period","subject","group","profit","totalprofit","contribution_id","income","strategic_ability","timecalculercontrolreppggok","timeokcontrolreppggok","timecalculerrepeatedpggok","timeokrepeatedpggok","sumc_rep","roundprofit","timecontinuerrepeatedpggfeedback","gamepaid","paypgg","paytask","finalprofit","moneyearned","crtscore","paycrt","mycontrib","sumcont_one","sm","paypggone","type","unassigned","winrace","payrace","bilevel","maxint","choiceguess","payguess","target","p","guessability","gr_one","ap","unco_cont","cond1","cond2","cond3","cond4","cond5","cond6","cond7","cond8","cond9","cond10","cond11","cond12","cond13","cond14","cond15","cond16","cond17","cond18","cond19","cond20","cond21","timeokcontrolonepggok","timeokoneshotpgguncook","timeokoneshotpggcondok","avg_cond","cov","sum_square1","sum_square2","avg_bench","d1","d2","var_cond","cor","othercont","mycond","ca","cb","cc","gr_guess","ce","timeokguessinggameok","cg","distance","winguess","cj","sessiontarget","cl","age","gender","study","yearstudy","nation","difficultexp","strategy","strategy1","strategy2","strategypartner","risk","session","id","idgroup","hetero","female","groupcont","avg_cont_all","avg_cont_type","avg_cont_ability","otherCC","CC","n_cc","cumability","bin_strategic_ability","n_H","avg_cont_prefgroup","avg_cont_abgroup","groupcompo","allCC","allH","dif_cont","othercont_rep","mincont","medcont","repothercont","otherH","periodsq","minab","maxab","decile","quartile","avgsm","FR","n_low","n_fr","allFR","allLow","fieldstudy","nationality","avg_cont_compo","condition","sum_contribution_g","avg_contribution_g","avg_contr_g_others","roundprofit_id","grouptype","group_ability_cont","group_ability_cat","group_ability_bin"
"11","160321_1143",2,"subjects",1,2,5,"0","0",20,30,41.5121630506246,"96","-8","0",26,50,30,9,NA,NA,NA,15.94,15.94,2,200,200,470,0,"282","UncondCoop",NA,1,200,1,5,50,0,2555555555555550,"0.6666666666666666",0.378698224852071,5,0,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,-63,23,57,"200",0,0,77000,100,"0",100,"0",0,120,200,470,200,"282",4,50,86,2555555555555550,2444444444444440,0,0,23.75,"0.3786982248520711",19,"Homme","Economie et Gestion, Math-Eco","Licence 1","Autre Non-Européenne","5 (Facile)","20 par sécurité","",NA,"20...",7,1,2,"5",NA,0,16.6666660308838,10.472222328186,12.3333330154419,9.52777767181396,2,0,2,0.463541656732559,0,1,10.3541669845581,9.89583301544189,3,0,0,0,29.9999980926514,10,20,29.9999980926514,1,1,40.7889556884766,44.996711730957,5,2,200,0,2,0,0,0,3,2,9.00925922393799,"STRAT",50,16.6666666666667,15,30,"grouptype_is_mixed",42.4326101249178,"MEDIUM","HIGH_STRAT"
"12","160321_1143",2,"subjects",1,11,5,"0","0",10,40,44.9967126890204,"6","-70","10",2,50,40,13,NA,NA,NA,15.94,15.94,1,100,200,470,1,"282","CondCoop",NA,1,200,1,5,16,200,1711111111111110,"0.6666666666666666",0.816568047337278,5,1,50,0,0,0,0,0,100,100,100,100,100,100,100,100,100,150,150,150,150,150,150,200,2,21,-31,"9523809523809520",69500,7452380952380950,77000,100,"1047619047619040",100,"3726190476190470",0.917470097393264,270,200,470,200,"282",7,16,-28,1711111111111110,1111111111111110,1,200,23.75,"0.8165680473372781",21,"Homme","Economie et Gestion, Math-Eco","Master 1","Autre Non-Européenne","4","puisqu'il y'a de l'information après chaque périodes, en premier tester la stratégies des autres participants en mettant 10 jetons, puis mettre 20 jetons vu que tout le monde l'ont fait, et vers les 3 dernières miser 0 jetons","parcequ'il y'a 22 personnes donc 8 groupes et une probabilités faibles de revenir dans le même groupe.",NA,"aucune idée fallait effectuer la première periode",8,1,11,"5",NA,0,16.6666660308838,10.472222328186,12,11.4166669845581,1,1,2,0.567708313465118,1,1,10.3541669845581,9.89583301544189,3,0,0,5,40,20,20,40,0,1,40.7889556884766,44.996711730957,6,3,95.2380981445312,0,2,0,0,0,3,2,9.00925922393799,"STRAT",50,16.6666666666667,20,40,"grouptype_is_mixed",42.4326101249178,"MEDIUM","HIGH_STRAT"
"13","160329_1355",0,"subjects",1,6,2,"0","0",0,33.2,13.3333333333333,"40","8","0",20,22,33.2,16,NA,NA,NA,9.04e+15,9.04e+15,0,0,10,310,1,"376","Freerider",NA,1,200,2,5,100,0,40,"0.6666666666666666",0,2,1,100,0,0,0,10,0,0,0,30,30,30,30,30,30,30,10,41,10,10,10,10,10,-2,11,-9,"1528571428571420",5.75e+15,3774285714285710,77000,100,"-5285714285714280",100,"1887142857142850",0.337291265991837,300,10,310,10,"376",7,100,80,40,60,0,0,3213888888888880,"0",19,"Femme","Autres","Licence 1","Francaise","4","AVOIR MINIMUM 20JETONS","",NA,"EN MISANT 0",4,8,174,"58",NA,1,7.33333349227905,9.54166698455811,3.91666674613953,9.15999984741211,2,0,2,0.0989583358168602,0,1,10.3541669845581,9.89583301544189,3,0,0,-10,22,10,10,22,1,1,13.3333330154419,62.6415100097656,1,1,15.2857141494751,1,2,1,0,0,1,3,9.00925922393799,"RAND",22,7.33333333333333,11,33.2,"grouptype_is_mixed",37.9564305897366,"MEDIUM","LOW_STRAT"
"14","160321_1143",2,"subjects",1,23,6,"0","0",3,24.8,39.0138067061144,"31","-42","0",13,13,24.8,8,NA,NA,NA,7824999999999990,7824999999999990,0,0,100,200,0,"220","CondCoop",NA,1,200,1,5,25,0,1088888888888880,"0.6666666666666666",0.970414201183432,4,0,100,0,9,9,19,19,25,30,35,40,45,55,60,65,75,85,90,95,98,99,99,99,9,29,-11,"5480952380952380",42590,2400523809523800,77000,100,"4419047619047610",100,"1200261904761900",0.990624965004824,55,99,200,100,"220",8,25,77,1088888888888880,1411111111111110,0,0,23.75,"0.9704142011834319",20,"Femme","Sciences dures (Mathématiques, Chimie, Biologie, Physique, Informatique)","Licence 1","Francaise","5 (Facile)","pas de risque","",NA,"plus de contribution",2,1,23,"6",NA,1,4.33333349227905,10.472222328186,12,9.52777767181396,1,1,2,0.40625,0,0,10.3541669845581,8.06666660308838,3,0,0,-7,10,0,3,10,0,1,38.1459579467773,39.0401039123535,5,2,54.8095245361328,0,3,2,0,1,4,3,9.00925922393799,"STRAT",13,4.33333333333333,5,24.8,"grouptype_is_mixed",38.7332895025203,"MEDIUM","LOW_STRAT"
"15","160323_1352",1,"subjects",1,20,8,"0","0",1,29.8,36.8960863697706,"80","-15","0",22,18,29.8,10,NA,NA,NA,14.04,14.04,0,0,200,390,1,"234","CondCoop",1,1,200,1,5,21,200,1688888888888880,"0.6666666666666666",0.906882591093117,3,1,110,0,30,50,70,60,80,100,110,120,130,140,150,150,160,180,180,200,200,200,200,200,-45,-1,-6,"129047619047619",75300,7698095238095230,77000,100,"7095238095238090",100,"3849047619047610",0.978043055479035,190,200,390,200,"234",1,21,86,1688888888888880,4111111111111110,1,200,2483333333333330,"0.9068825910931174",18,"Homme","Economie et Gestion, Math-Eco","Licence 1","Francaise","5 (Facile)","mETTRE LE PLUS SOUVENT POSSIBLE \""0\"" car on ne peut pas gagner moins de 20 jetons tandis que si on mise davantage on risque de perdre des jetons. Il faut espérer que les autres misent.","",NA,"Je pensais qu'ils allaient miser beaucoup.",5,5,116,"40",1,0,6,9.20833301544189,1.5,8.08571434020996,1,1,2,0.354166656732559,0,2,10.3541669845581,10.5614032745361,3,0,0,-10,17,2,2,17,2,1,36.8960876464844,58.2276191711426,4,2,129.047622680664,0,1,1,0,0,3,3,9.00925922393799,"PREF",18,6,8.5,29.8,"grouptype_is_mixed",46.3967611336032,"MEDIUM","HIGH_STRAT"
"16","160323_1557",1,"subjects",1,18,2,"0","0",5,33,21.0824108241082,"42","15","14",12,30,33,17,NA,NA,NA,16215,16215,0,0,30,250,1,"320","Freerider",0,1,200,1,5,7,0,2066666666666660,"0.6666666666666666",0.432472324723247,2,1,10,0,0,0,0,0,0,0,5,5,5,7,7,7,8,10,10,15,20,15,20,30,-157,-47,8,"7809523809523800",9349999999999990,1355238095238090,77000,100,"2219047619047610",100,"6776190476190470",0.915289431545917,220,30,250,30,"320",6,7,75,2066666666666660,1366666666666660,0,0,2836111111111110,"0.4324723247232474",22,"Homme","Economie et Gestion, Math-Eco","Licence 3","Autre Non-Européenne","3","je me retenais dans la contribution a la cagnontte dans les 3 premieres etapes et par la suite comme les 2 autres mettaient 20 j'ai aussi mis 20 pour gagner plus  que les 20 jetons de bas","",NA,"ils avaient compris la bonne strategie en mettant 2 chacun mais a la fin du jeu il n'ont rien mis, ils ont voulu garder les 20",7,6,138,"42",0,0,10,9.20833301544189,4.83333349227905,8.08571434020996,0,0,0,0.13541667163372,0,2,7.85416650772095,10.5614032745361,3,0,0,4,25,5,5,25,2,1,21.0824108123779,77.0561676025391,2,1,7.8095235824585,1,1,3,1,0,3,2,9.00925922393799,"PREF",30,10,12.5,33,"Freerider",53.9702063687304,"HIGH","HIGH_STRAT"
"17","160324_1558",0,"subjects",1,13,5,"0","0",0,32,50.4555387460077,"62","59","19",17,20,32,15,NA,NA,NA,16595,16595,1,100,0,240,1,"344","Freerider",NA,1,200,1,5,30,0,2711111111111110,"0.6666666666666666",0.980332829046899,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,"0",0,0,77000,100,"0",100,"0",0,240,0,240,0,"344",8,30,28,2711111111111110,2888888888888890,0,0,2927777777777770,"0.9803328290468986",20,"Homme","Economie et Gestion, Math-Eco","Licence 2","Francaise","5 (Facile)","J'ai toujours misé 0 car 0 été l'optimal pour mes gains.","",NA,"Au début je savais que les autres aller contribuer une certaine somme dans la cagnotte commune, comme j'ai toujours misé 0 j'ai donc optimiseé au maximum mes gains et profiter des investissement des autres personnes au début.",8,7,157,"53",NA,0,6.66666650772095,9.54166698455811,3.91666674613953,9.95652198791504,0,0,0,0.640625,1,2,7.85416650772095,10.5614032745361,3,0,0,0,20,10,10,20,1,1,12.1129598617554,50.4555397033691,7,3,0,1,1,2,0,0,3,3,9.00925922393799,"RAND",20,6.66666666666667,10,32,"grouptype_is_mixed",35.6709811172746,"LOW","LOW_STRAT"
"18","160321_1405",2,"subjects",1,14,5,"0","0",8,22.8,40.180790960452,"84","37","0",4,18,22.8,5,NA,NA,NA,9.095e+15,9.095e+15,0,0,25,105,1,"238","Others",NA,1,200,2,5,33,200,2977777777777770,"0.6666666666666666",0.805423728813559,1,1,90,10,40,40,50,27,25,25,60,70,80,45,50,60,70,20,60,50,50,50,25,25,-10,-1,-56,"4438095238095230",3.68e+15,7090952380952380,77000,100,"-1938095238095230",100,"354547619047619",0.157488980509156,80,25,105,25,"238",2,33,24,2977777777777770,3222222222222220,1,200,2502777777777770,"0.8054237288135593",20,"Femme","Autres","Licence 2","Francaise","4","calcul par rapport à la contribution moyenne, plus elle était haute, plus je contribuais etc.","",NA,"Je pensais que les autres joueurs allaient miser plus.",6,2,38,"13",NA,1,6,10.472222328186,9.5,9.52777767181396,1,0,1,0.453125,0,0,9.17777824401855,8.06666660308838,3,0,0,-1,10,5,5,10,0,1,40.1807899475098,42.2222213745117,5,2,44.3809509277344,0,3,1,0,1,1,3,9.00925922393799,"STRAT",18,6,5,22.8,"grouptype_is_mixed",40.8612680477087,"MEDIUM","LOW_STRAT"
"19","160321_1405",2,"subjects",1,20,5,"0","0",5,25.8,40.180790960452,"74","46","22",2,18,25.8,16,NA,NA,NA,8719999999999990,8719999999999990,0,0,50,120,1,"222","CondCoop",NA,1,200,2,5,33,200,2311111111111110,"0.6666666666666666",0.805423728813559,2,1,50,0,0,0,5,5,5,10,10,0,10,10,10,10,50,50,50,50,50,50,50,50,23,4,-2,"2261904761904760",24600,9930952380952370,77000,100,"2738095238095230",100,"4965476190476180",0.889599017915528,70,50,120,50,"222",8,33,4,2311111111111110,9888888888888890,1,200,2502777777777770,"0.8054237288135593",20,"Homme","Economie et Gestion, Math-Eco","Licence 2","Francaise","4","Investir une somme moyenne par rapport a la somme investi par les deux autres membres","",NA,"En essayant d'investir le moins possible",7,2,44,"13",NA,0,6,10.472222328186,12,9.52777767181396,0,1,1,0.453125,0,0,9.17777824401855,8.06666660308838,3,0,0,0,13,5,5,13,0,1,40.1807899475098,42.2222213745117,5,2,22.619047164917,0,3,1,0,1,3,3,9.00925922393799,"STRAT",18,6,6.5,25.8,"grouptype_is_mixed",40.8612680477087,"MEDIUM","LOW_STRAT"
"20","160323_1557",1,"subjects",1,22,8,"0","0",11,39.6,47.4538745387454,"37","35","-1",-8,51,39.6,-9,NA,NA,NA,16.28,16.28,0,0,120,250,0,"230","Others",0,1,200,3,5,35,100,2377777777777770,"0.6666666666666666",0.823616236162362,2,0,120,0,20,50,0,70,100,100,50,30,100,50,20,100,20,100,100,100,90,90,0,0,-322,3,-98,"5666666666666660",9.2e+15,3326666666666660,77000,100,"-5666666666666660",100,"1663333333333330",0.18177653532349,110,0,250,120,"230",8,35,10,2377777777777770,1122222222222220,1,100,2836111111111110,"0.8236162361623616",18,"Femme","Economie et Gestion, Math-Eco","Licence 1","Francaise","3","Je regardais combien les autres mettais en moyenne et comme il mettais générallement le même montant, je contibuais en fonction pour que cela me rapporte la maximum de gain.","",NA,"Ils jouaient générallement de la même façon.",2,6,142,"48",0,1,17,9.20833301544189,11.6666669845581,10.2702703475952,0,0,0,0.598958313465118,1,1,7.85416650772095,9.89583301544189,3,0,0,-1,40,20,20,40,0,1,35.5555572509766,47.4538726806641,6,3,56.6666679382324,0,2,0,0,0,3,3,9.00925922393799,"PREF",51,17,20,39.6,"Others",41.003143364767,"MEDIUM","LOW_STRAT"
